COUNTRY,BEER_SERVINGS,SPIRIT_SERVINGS,WINE_SERVINGS,TOTAL_LITRES_OF_PURE_ALCOHOL,CONTINENT
KUWAIT,0,0,0,0.0,AS
KYRGYZSTAN,31,97,6,2.4,AS
LAOS,62,0,123,6.2,AS
LATVIA,281,216,62,10.5,EU
LEBANON,20,55,31,1.9,AS
LESOTHO,82,29,0,2.8,AF
LIBERIA,19,152,2,3.1,AF
LIBYA,0,0,0,0.0,AF
LITHUANIA,343,244,56,12.9,EU
LUXEMBOURG,236,133,271,11.4,EU
MADAGASCAR,26,15,4,0.8,AF
MALAWI,8,11,1,1.5,AF
MALAYSIA,13,4,0,0.3,AS
MALDIVES,0,0,0,0.0,AS
MALI,5,1,1,0.6,AF
MALTA,149,100,120,6.6,EU
MARSHALL ISLANDS,0,0,0,0.0,OC
MAURITANIA,0,0,0,0.0,AF
MAURITIUS,98,31,18,2.6,AF
MEXICO,238,68,5,5.5,NA
MICRONESIA,62,50,18,2.3,OC
MONACO,0,0,0,0.0,EU
MONGOLIA,77,189,8,4.9,AS
MONTENEGRO,31,114,128,4.9,EU
MOROCCO,12,6,10,0.5,AF
MOZAMBIQUE,47,18,5,1.3,AF
MYANMAR,5,1,0,0.1,AS
NAMIBIA,376,3,1,6.8,AF
NAURU,49,0,8,1.0,OC
NEPAL,5,6,0,0.2,AS
NETHERLANDS,251,88,190,9.4,EU
NEW ZEALAND,203,79,175,9.3,OC
NICARAGUA,78,118,1,3.5,NA
NIGER,3,2,1,0.1,AF
NIGERIA,42,5,2,9.1,AF
NIUE,188,200,7,7.0,OC
NORWAY,169,71,129,6.7,EU
OMAN,22,16,1,0.7,AS
PAKISTAN,0,0,0,0.0,AS
PALAU,306,63,23,6.9,OC
PANAMA,285,104,18,7.2,NA
PAPUA NEW GUINEA,44,39,1,1.5,OC
PARAGUAY,213,117,74,7.3,SA
PERU,163,160,21,6.1,SA
PHILIPPINES,71,186,1,4.6,AS
POLAND,343,215,56,10.9,EU
PORTUGAL,194,67,339,11.0,EU
QATAR,1,42,7,0.9,AS
SOUTH KOREA,140,16,9,9.8,AS
MOLDOVA,109,226,18,6.3,EU
ROMANIA,297,122,167,10.4,EU
RUSSIAN FEDERATION,247,326,73,11.5,AS
RWANDA,43,2,0,6.8,AF
ST. KITTS & NEVIS,194,205,32,7.7,NA
ST. LUCIA,171,315,71,10.1,NA
ST. VINCENT & THE GRENADINES,120,221,11,6.3,NA
SAMOA,105,18,24,2.6,OC
SAN MARINO,0,0,0,0.0,EU
SAO TOME & PRINCIPE,56,38,140,4.2,AF
SAUDI ARABIA,0,5,0,0.1,AS
SENEGAL,9,1,7,0.3,AF
SERBIA,283,131,127,9.6,EU
SEYCHELLES,157,25,51,4.1,AF
SIERRA LEONE,25,3,2,6.7,AF
SINGAPORE,60,12,11,1.5,AS
SLOVAKIA,196,293,116,11.4,EU
SLOVENIA,270,51,276,10.6,EU
SOLOMON ISLANDS,56,11,1,1.2,OC
SOMALIA,0,0,0,0.0,AF
SOUTH AFRICA,225,76,81,8.2,AF
SPAIN,284,157,112,10.0,EU
SRI LANKA,16,104,0,2.2,AS
SUDAN,8,13,0,1.7,AF
SURINAME,128,178,7,5.6,SA
SWAZILAND,90,2,2,4.7,AF
SWEDEN,152,60,186,7.2,EU
SWITZERLAND,185,100,280,10.2,EU
SYRIA,5,35,16,1.0,AS
TAJIKISTAN,2,15,0,0.3,AS
THAILAND,99,258,1,6.4,AS
MACEDONIA,106,27,86,3.9,EU
TIMOR-LESTE,1,1,4,0.1,AS
TOGO,36,2,19,1.3,AF
TONGA,36,21,5,1.1,OC
TRINIDAD & TOBAGO,197,156,7,6.4,NA
TUNISIA,51,3,20,1.3,AF
TURKEY,51,22,7,1.4,AS
TURKMENISTAN,19,71,32,2.2,AS
TUVALU,6,41,9,1.0,OC
UGANDA,45,9,0,8.3,AF
UKRAINE,206,237,45,8.9,EU
UNITED ARAB EMIRATES,16,135,5,2.8,AS
UNITED KINGDOM,219,126,195,10.4,EU
TANZANIA,36,6,1,5.7,AF
USA,249,158,84,8.7,NA
URUGUAY,115,35,220,6.6,SA
UZBEKISTAN,25,101,8,2.4,AS
VANUATU,21,18,11,0.9,OC
VENEZUELA,333,100,3,7.7,SA
VIETNAM,111,2,1,2.0,AS
YEMEN,6,0,0,0.1,AS
ZAMBIA,32,19,4,2.5,AF
ZIMBABWE,64,18,4,4.7,AF
